1252771	Yavatmal	Yavatmal	Distretto di Yavatmal,District dYavatmal,Distrito de Yavatmal,Javatmal,YVT,Yavatmal,Yavatmal District,Yavatmal district,Yavatmāl,mntqt yafatmal,ya wa te ma er xian,yabatamala jilla,yavatamala,yavatamala jil'ha,yavatamala jila,yavatamala jilla,yavatamala jillo,yavatamalamandalam,yavatmal jilla,yavatmal mavattam,Яватмал,ضلع یاوتمال,منطقة يافاتمال,یوٹمل ضلع,यवतमाल जिला,यवतमाल जिल्ला,यवतमाळ,यवतमाळ जिल्ला,यवतमाळ जिल्हा,यवतमाळमण्डलम्,યવતમાળ જિલ્લો,ଯବତମାଲ ଜିଲ୍ଲା,யவத்மாள் மாவட்டம்,యావత్మల్ జిల్లా,亞瓦特馬爾縣	20.15	78.35	A	ADM2	IN		16	510			2772348		377	Asia/Kolkata	2018-05-26
1252772	Yavat	Yavat		18.47719	74.27336	P	PPL	IN		16	521			0		565	Asia/Kolkata	2014-10-13
1252773	Yāval	Yaval		21.16772	75.69762	P	PPL	IN		16	499			32881		215	Asia/Kolkata	2016-01-07
1252774	Yat-kirāna	Yat-kirana		8.23333	93.23333	P	PPL	IN		01	638			0		36	Asia/Kolkata	2014-10-13
1252775	Yarrampalli	Yarrampalli	Verrampalli,Yarrampalle,Yarrampalli,Yerrampalli	14.29065	77.62439	S	RSTN	IN		02	553			0		434	Asia/Kolkata	2014-10-10
1252776	Yarnāl	Yarnal	Yarnal,Yarnāl,Yeirnal	16.61547	75.86258	P	PPL	IN		19	557			0		615	Asia/Kolkata	2020-06-10
1252777	Yargulak	Yargulak	Yargulak,Yashileke,ya shi lei ke,雅石勒克	34.65657	78.19023	S	HLT	IN		41	003			0		4066	Asia/Kolkata	2019-10-18
1252778	Yaragol	Yaragol	Yaragol,Yargol	16.90445	77.06655	P	PPL	IN		19	580			0		439	Asia/Kolkata	2015-08-07
1252779	Yargatti	Yargatti	Yargatti	15.96853	75.02517	P	PPL	IN		19	555			0		682	Asia/Kolkata	2014-10-14
1252780	Yarbo Po	Yarbo Po		27.7001	93.75513	T	MT	IN		30	256			0		2190	Asia/Kolkata	2014-10-14
1252781	Yārāda Konda	Yarada Konda		17.66935	83.25256	T	HLL	IN		02	544			0		355	Asia/Kolkata	2014-10-10
1252782	Yārāda Hill	Yarada Hill		17.68333	83.28333	T	HLL	IN		02	544			0		73	Asia/Kolkata	2014-10-10
1252783	Yārāda	Yarada	Yarada,Yārāda	17.65872	83.27419	P	PPL	IN		02	544			3406		10	Asia/Kolkata	2019-02-21
1252784	Yapuik	Yapuik		28.47865	94.42464	P	PPL	IN		30	250			0		2077	Asia/Kolkata	2014-10-14
1252785	Yanmān	Yanman	Yaman,Yanman,Yanmān	27.05707	95.72215	P	PPL	IN		30	253			0		1194	Asia/Kolkata	2020-06-10
1252786	Yenkanchi	Yenkanchi	Yankanchi,Yenkanchi	16.86624	76.34986	P	PPL	IN		19	557			0		480	Asia/Kolkata	2015-08-07
1252787	Yang Sang Chu	Yang Sang Chu	Nyglong,Yang Sang Chu	28.96745	94.88473	H	STM	IN		00				0		424	Asia/Kolkata	2012-10-06
1252788	Yāngpa	Yangpa	Yangpa,Yāngpa	31.61486	78.03387	P	PPL	IN		11	034			0		2679	Asia/Kolkata	2020-06-10
1252789	Yangpa	Yangpa		35.55	79.46667	S	HLT	IN		41	003			0		4862	Asia/Kolkata	2019-10-18
1252791	Yang-chi Shan-k’ou	Yang-chi Shan-k'ou	Yang-chi Shan-k'ou,Yang-chi Shan-k’ou,Yangi Dawan,Yangi Dawān,Yangi Pass,Yangi-davan	35.95583	79.44	T	PASS	IN	CN	00				0		5830	Asia/Kolkata	2020-06-10
